NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
16;Toyota GR86;Am;17;2:28.510;11;2:28.761;6;2:28.952;16;2:29.062;5;2:29.133;3;2:29.483;4;2:29.604;2;2:29.996;10;2:30.251;17;2:30.531;15;2:29.428
18;Toyota GR86;Am;11;2:31.905;5;2:32.820;10;2:32.866;2;2:32.904;3;2:33.061;11;2:33.142;4;2:35.500;6;2:37.554;7;3:08.520;8;3:17.628;9;2:41.590
21;Toyota GR86;Am;17;2:28.397;11;2:28.669;3;2:28.992;6;2:29.020;16;2:29.553;5;2:29.783;2;2:29.972;4;2:30.010;10;2:30.140;17;2:30.456;15;2:29.499
31;Toyota GR86;Am;17;2:29.354;6;2:30.087;4;2:30.336;2;2:31.080;3;2:31.696;12;2:32.505;15;2:32.734;10;2:32.769;16;2:33.387;11;2:33.688;7;2:31.763
41;Toyota GR86;Am;17;2:28.956;5;2:29.013;6;2:29.803;4;2:30.124;17;2:30.318;16;2:30.488;3;2:30.497;2;2:30.817;15;2:31.262;12;2:32.521;11;2:30.379
46;Toyota GR86;Am;17;2:28.317;6;2:28.388;4;2:28.492;3;2:28.536;2;2:28.660;11;2:28.756;5;2:28.809;17;2:29.307;10;2:30.155;16;2:32.924;12;2:29.234
47;Toyota GR86;Am;17;2:29.273;5;2:29.407;2;2:29.421;3;2:29.528;11;2:29.657;6;2:30.029;4;2:30.935;17;2:31.444;16;2:31.451;10;2:32.601;15;2:30.374
51;Toyota GR86;Am;17;2:30.931;2;2:31.734;5;2:31.782;11;2:31.973;4;2:32.270;17;2:32.598;6;2:32.605;16;2:33.135;15;2:33.252;10;2:34.595;7;2:32.487
55;Toyota GR86;Am;17;2:28.778;2;2:29.030;16;2:29.266;3;2:29.390;6;2:29.525;11;2:30.214;4;2:30.264;5;2:30.444;17;2:30.582;15;2:31.684;10;2:29.917
57;Toyota GR86;Am;17;2:32.766;10;2:32.869;15;2:32.884;3;2:33.010;5;2:33.100;2;2:33.128;17;2:33.138;11;2:33.343;6;2:34.140;4;2:34.178;16;2:33.255
71;Toyota GR86;Am;17;2:29.061;16;2:29.263;5;2:29.351;4;2:29.412;3;2:29.538;6;2:29.542;11;2:29.797;2;2:30.273;17;2:30.562;15;2:31.270;10;2:29.806
72;Toyota GR86;Am;17;2:28.693;2;2:28.888;6;2:28.982;11;2:29.167;16;2:29.544;10;2:29.794;17;2:29.805;3;2:29.936;5;2:30.508;15;2:32.488;7;2:29.780
73;Toyota GR86;Am;17;2:31.237;16;2:31.862;11;2:32.207;15;2:32.593;4;2:32.949;5;2:33.514;6;2:33.836;10;2:33.869;3;2:33.876;17;2:34.702;2;2:33.064
78;Toyota GR86;Am;17;2:29.284;6;2:29.398;4;2:29.487;5;2:29.492;3;2:29.609;11;2:29.714;2;2:31.205;15;2:31.450;10;2:31.992;16;2:32.654;17;2:30.428
80;Toyota GR86;Am;10;2:31.506;5;2:31.805;3;2:31.937;4;2:33.613;2;2:35.097;10;2:35.259;9;2:35.384;6;2:41.988;8;6:31.222;7;;0;3:00.867
86;Toyota GR86;Am;17;2:31.889;11;2:32.504;4;2:32.654;3;2:33.076;16;2:33.386;15;2:33.438;6;2:33.803;17;2:34.343;10;2:34.738;2;2:36.841;12;2:33.667
88;Toyota GR86;Am;17;2:29.389;6;2:30.624;2;2:30.734;5;2:30.812;7;2:30.863;3;2:30.890;17;2:31.488;15;2:31.726;10;2:31.921;12;2:32.272;16;2:31.071
89;Toyota GR86;Am;17;2:29.614;6;2:30.241;4;2:30.528;2;2:30.859;3;2:31.539;15;2:31.700;17;2:32.219;7;2:32.387;16;2:32.686;10;2:32.749;12;2:31.452
93;Toyota GR86;Am;16;2:30.060;3;2:30.096;4;2:30.355;5;2:30.634;6;2:30.988;15;2:32.355;10;2:32.355;7;2:32.398;12;2:32.676;16;2:33.451;11;2:31.536
98;Toyota GR86;Am;17;2:29.087;6;2:29.689;5;2:30.115;3;2:30.478;12;2:30.603;2;2:30.826;11;2:31.013;17;2:31.201;7;2:32.200;16;2:32.377;15;2:30.758
113;Toyota GR86;Am;17;2:30.586;4;2:30.801;7;2:30.903;5;2:31.115;15;2:31.248;3;2:31.440;12;2:31.466;2;2:31.588;6;2:31.606;17;2:32.049;16;2:31.280
